Date,Open,High,Low,Close,Volume,"BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)"
03/16/2009,76.96,77.97,75.81,75.86,360821248,0,0
03/17/2009,76.07,78.36,75.45,78.18,357075200,0,0
03/18/2009,77.81,80.9,77.07,79.93,473552384,0,0
03/19/2009,80.93,81,78.69,78.94,428597248,0,0
03/20/2009,78.76,78.91,76.53,76.71,371165696,0,0
03/23/2009,78.74,82.29,78.31,82.22,420247296,0,0
03/24/2009,81.24,82.36,80.51,80.6,330843904,0,0
03/25/2009,81.23,82.7,79.06,81.45,441995008,0,0
03/26/2009,82.25,83.3,81.32,83.11,422025216,0,0
03/27/2009,82.05,82.53,81.31,81.61,322343680,0,0
03/30/2009,79.8,79.87,77.96,78.79,324108544,0,0
03/31/2009,79.56,81.08,79.05,79.52,364238336,0,0
04/01/2009,78.53,81.42,78.33,81.06,377018368,0,0
04/02/2009,83.08,84.61,81.1296,83.43,476230912,0,0
04/03/2009,83.49,84.28,82.67,84.26,284646144,0,0
04/06/2009,83.34,84.2747,82.29,83.6,264866560,0,0
04/07/2009,82.25,82.65,81.51,81.65,259071936,0,0
04/08/2009,82.06,82.94,81.54,82.53,230402752,0,0
04/09/2009,84.67,85.82,84.33,85.81,269653504,0,0
04/13/2009,84.92,86.54,84.58,85.83,224847440,86.6050755765149,75.9039244234851
04/14/2009,85.03,85.76,84.08,84.35,276598784,86.5784036371785,76.7795963628215
04/15/2009,83.84,85.42,83.61,85.25,250726064,86.891112456248,77.173887543752
04/16/2009,85.93,87.15,84.77,86.5,335202816,87.4876047243769,77.2343952756231
04/17/2009,86.83,87.65,86.14,87.08,262648944,88.0341773612378,77.5018226387621
04/20/2009,85.54,87.0489,83.34,83.43,293690112,87.5793565221114,78.6286434778885
04/21/2009,82.82,85.13,82.75,85.06,300478464,87.7799889721981,78.7120110278019
04/22/2009,84.29,86.34,84.07,84.54,340395008,87.8403223670785,79.0456776329214
04/23/2009,84.71,85.42,83.63,85.37,324903680,88.0129039769995,79.2650960230005
04/24/2009,86.03,87.31,85.69,86.66,287703040,88.3743866813475,79.2586133186525
04/27/2009,85.68,87.01,85.54,85.84,289581568,88.5491264083199,79.50687359168
04/28/2009,84.97,86.59,84.76,85.57,247927872,88.2359952183999,80.4980047816001
04/29/2009,86.52,88.36,86.3,87.39,311505664,88.1485346810508,81.3724653189492
04/30/2009,88.55,89.02,86.92,87.42,301419776,88.2010199759172,81.9559800240828
05/01/2009,87.44,88.21,86.72,87.89,236110320,88.5555145973862,82.0474854026139
05/04/2009,88.55,90.94,88.38,90.88,287119872,89.6521212508164,81.6128787491836
05/05/2009,90.57,90.93,89.84,90.57,243036256,90.4218463157383,81.5401536842617
05/06/2009,91.68,92.2,90.61,92.141,291941120,91.2445491548856,81.7665508451144
05/07/2009,93.01,93.15,90.28,90.86,317800448,91.6544353805459,82.189664619454
05/08/2009,92.03,93.22,90.911,92.98,299081728,92.6632819262626,81.8978180737374
05/11/2009,91.7,92.11,91.04,91.24,247923568,93.154241214835,81.947858785165
05/12/2009,91.63,91.83,89.85,90.97,282431232,93.4718628224482,82.2922371775519
05/13/2009,89.74,90.01,88.5,88.68,269618944,93.5189105361414,82.5881894638586
05/14/2009,88.72,90.12,88.5,89.44,260098624,93.6489878485969,82.7521121514031
05/15/2009,89.37,90,88.15,88.71,271502592,93.7097279003552,82.8543720996449
05/18/2009,89.55,91.34,88.5702,91.23,242217248,93.75937654643,83.5847234535701
05/19/2009,91.18,91.97,90.81,91.12,206102192,93.8845068121125,84.0655931878875
05/20/2009,91.95,92.8,90.41,90.51,285898240,93.7772859813811,84.769814018619
05/21/2009,89.46,89.8,88.26,89.21,258988368,93.59948867758,85.33161132242
05/22/2009,89.46,90,88.68,89.02,166811872,93.5204566270351,85.646643372965
05/26/2009,88.36,91.56,88.32,91.3,236318432,93.4603708321171,86.252729167883
05/27/2009,91.44,91.75,89.53,89.67,246313504,93.0866917470908,87.0364082529093
05/28/2009,90.46,91.34,89.1,90.92,289094912,93.021361874368,87.4547381256321
05/29/2009,91.42,93.7,90.68,92.53,258641376,93.1294615671787,87.8576384328214
06/01/2009,93.67,95.17,93.43,94.77,276246784,93.8000820572067,87.8750179427934
06/02/2009,94.4,95.37,87.53,94.85,230874432,94.4767734399169,87.5953265600831
06/03/2009,94.04,94.13,92.76,93.65,235403936,94.8048556918722,87.5752443081279
06/04/2009,94,94.67,93.3,94.53,210102256,95.1902137230145,87.4287862769855
06/05/2009,95.49,95.67,93.8,94.55,284257792,95.6151085887149,87.3728914112852
06/08/2009,93.84,95.1,93.04,94.16,238565120,95.7896831366058,87.3163168633942
06/09/2009,94.69,95.145,94.02,94.64,225125440,96.1637436314204,87.2822563685797
06/10/2009,95.48,95.49,93.19,94.4,296100352,96.4686030814799,87.3203969185202
06/11/2009,94.58,96.11,94.56,94.82,275414016,96.6948874749452,87.7081125250548
06/12/2009,94.4,95.14,94,95.08,184373008,96.9561290926027,88.0108709073973
06/15/2009,93.96,94.02,92.4,92.9,224190432,96.8180071515077,88.5679928484924
06/16/2009,93.23,93.29,91.58,91.64,227319008,96.813218404964,88.6137815950361
06/17/2009,91.6,92.33,90.83,91.55,223445312,96.8054717171362,88.6645282828639
06/18/2009,91.69,92.67,91.25,92.219,211725056,96.7704701758971,88.870429824103
06/19/2009,92.58,92.7,91.52,92.04,215655568,96.5726730563957,89.3512269436043
06/22/2009,91.14,91.19,89.25,89.28,251913568,96.5302562020028,89.4196437979973
06/23/2009,89.47,89.88,88.85,89.35,188309680,96.7074810951724,89.0474189048277
06/24/2009,90.16,91.08,89.6,90.118,211577632,96.6591713363578,89.1405286636422
06/25/2009,89.67,92.17,89.57,92.08,279410944,96.6279331748059,89.2877668251941
06/26/2009,91.77,92.24,91.27,91.84,167579008,96.6217356086127,89.2249643913873
06/29/2009,92.11,92.82,91.6,92.7,168481248,96.420288988512,89.219411011488
06/30/2009,92.72,93.06,91.27,91.95,228888192,96.1685710692879,89.1811289307121
07/01/2009,92.34,93.23,92.21,92.33,173041056,96.0761636157537,89.1415363842463
07/02/2009,91.13,92.3624,89.76,89.81,212309808,95.9264437457708,88.8192562542292
07/06/2009,88.94,89.93,88.66,89.8,174499568,95.7100273994299,88.5606726005701
07/07/2009,89.71,89.82,88,88.06,197088880,95.6914473194129,87.9692526805871
07/08/2009,88.59,88.8,87,88,248050496,95.4761215004738,87.5205784995261
07/09/2009,88.61,88.9,87.91,88.17,163777568,95.1826234307642,87.1910765692358
07/10/2009,87.7,88.49,87.35,87.96,173520256,94.7088423298759,86.9788576701242
07/13/2009,88.31,90.17,87.59,90.102,217413376,93.9432982181516,87.2466017818484
07/14/2009,90.38,90.69,89.73,90.61,181555376,93.6579315483337,87.3029684516663
07/15/2009,91.81,93.51,90.6795,93.26,220877808,93.9298937638192,87.1930062361808
07/16/2009,93,94.51,92.82,94.15,231174496,94.387245636938,86.995654363062
07/17/2009,94.06,94.32,93.54,94.13,138561680,94.7265976444311,86.8474023555689
07/20/2009,94.68,95.29,94.19,95.131,164179376,95.2872320166697,86.5958679833303
07/21/2009,95.87,95.9,94.42,95.57,217718256,95.9700367829693,86.5420632170307
07/22/2009,94.96,96.13,94.89,95.55,196067568,96.5458358779277,86.5862641220723
07/23/2009,95.61,98.08,95.53,97.661,258795504,97.5324407570276,86.3539592429724
07/24/2009,97.2,98.14,96.69,98.06,154003008,98.4358510912382,86.0485489087618
07/27/2009,97.88,98.4,97.34,98.35,159259376,99.3031438636207,85.8322561363793
07/28/2009,97.66,98.37,97.06,97.89,186685680,99.9517152705291,85.7026847294709
07/29/2009,97.44,98.088,96.98,97.652,194399312,100.524144091722,85.7004559082777
07/30/2009,98.83,99.83,98.6,98.67,225575376,101.213173331446,85.6454266685538
07/31/2009,98.65,99.47,98.38,98.81,207357936,101.813353443228,85.945246556772
08/03/2009,99.85,100.53,99.31,100.44,175776880,102.602608029856,86.219991970144
08/04/2009,99.99,100.84,99.78,100.7,176714496,103.126713786265,86.9598862137347
08/05/2009,100.77,100.855,99.58,100.41,184726368,103.38650524104,87.9410947589596
08/06/2009,100.87,101.02,99.42,99.89,193203744,103.363683457015,89.1359165429852
08/07/2009,100.94,102.03,100.39,101.202,220684368,103.23760409994,90.5861959000605
08/10/2009,100.74,101.22,100.27,100.99,130898624,103.190432823715,91.722167176285
08/11/2009,100.54,100.61,99.46,99.73,157301008,102.781397743936,93.0432022560638
08/12/2009,99.56,101.56,99.51,100.8,219052368,102.814626511976,93.7639734880237
08/13/2009,101.26,101.61,100.26,101.57,176449504,102.979310724691,94.3412892753091
08/14/2009,101.52,101.6,99.7,100.79,199691248,102.867922360953,95.1186776390469
08/17/2009,98.85,98.95,98.115,98.31,237892624,102.619460052765,95.6850399472351
08/18/2009,98.53,99.44,98.35,99.09,173461440,102.383068087873,96.2734319121273
08/19/2009,98.31,100.3,98.21,99.96,192812752,102.071094058609,97.0264059413909
08/20/2009,100.09,101.22,99.87,100.99,174131248,102.15530603048,97.2750939695202
08/21/2009,101.82,103.13,101.62,102.97,224604944,102.659559692534,97.2618403074665
08/24/2009,103.39,103.95,102.59,102.96,191278880,103.081115542015,97.301284457985
08/25/2009,103.37,104.26,102.94,103.16,215310560,103.417390203175,97.4920097968253
08/26/2009,102.84,103.64,102.49,103.17,194620624,103.624834848796,97.8363651512045
08/27/2009,103.11,103.72,101.94,103.4,196230000,103.921552768279,98.0126472317211
08/28/2009,104.23,104.35,102.67,103.38,147024368,104.154272567215,98.2369274327855
08/31/2009,102.37,102.58,101.79,102.46,176051568,104.28298486468,98.3102151353204
09/01/2009,101.95,103.24,99.99,100.2,321276672,104.285785555004,98.257414444996
09/02/2009,99.78,100.44,99.57,99.82,171805008,104.300660308381,98.183539691619
09/03/2009,100.4,100.77,99.59,100.65,143572256,104.289002916348,98.271197083652
09/04/2009,100.85,102.09,100.55,102.06,142687808,104.35063339921,98.2953666007897
09/08/2009,103,103.05,102.39,102.94,132909008,104.523611180737,98.3173888192628
09/09/2009,103.12,104.08,102.8,103.73,154612496,104.777159468488,98.4638405315121
09/10/2009,103.8,104.86,103.22,104.79,162902368,105.237572237713,98.4024277622866
09/11/2009,104.99,105.3,104.28,104.77,152383632,105.627656782098,98.3323432179024
09/14/2009,103.88,105.46,103.15,105.28,149593744,106.077299891551,98.3317001084486
