Date,Time,Open,High,Low,Close,Volume,"Volume Weighted Moving Average - VMA - VMA(Close,60)","Linear Regression - LR - LR(20)","BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)","Standard Deviation - SD - SD(5,Population)"
03/30/2020,4:00 PM,159.75,160.32,159.58,160.3,765810,0,0,0,0,0
03/31/2020,9:31 AM,159.4,159.97,158.9,158.92,1379450,0,0,0,0,0
03/31/2020,9:32 AM,158.9431,158.99,158.37,158.88,494476,0,0,0,0,0
03/31/2020,9:33 AM,158.92,159.19,158.41,158.71,299963,0,0,0,0,0
03/31/2020,9:34 AM,158.7223,158.86,158.34,158.5201,237734,0,0,0,0,0.632994598404055
03/31/2020,9:35 AM,158.5275,159.78,158.44,159.17,478591,0,0,0,0,0.217318203554722
03/31/2020,9:36 AM,159.18,159.4482,159,159.34,239001,0,0,0,0,0.298140640644174
03/31/2020,9:37 AM,159.32,159.48,159.11,159.24,146151,0,0,0,0,0.321379777840945
03/31/2020,9:38 AM,159.24,159.43,158.89,159.36,266522,0,0,0,0,0.310676297122364
03/31/2020,9:39 AM,159.34,159.36,159.15,159.1932,158666,0,0,0,0,0.0766292268171526
03/31/2020,9:40 AM,159.16,159.18,158.89,158.9869,139692,0,0,0,0,0.133695959562411
03/31/2020,9:41 AM,159,159.27,158.83,159.055,219730,0,0,0,0,0.13284912345099
03/31/2020,9:42 AM,159.0556,159.17,158.94,159.04,159471,0,0,0,0,0.134946247064608
03/31/2020,9:43 AM,159.04,159.28,158.865,159.14,163226,0,0,0,0,0.0738393499679895
03/31/2020,9:44 AM,159.11,159.42,159.11,159.25,183100,0,0,0,0,0.092042042605719
03/31/2020,9:45 AM,159.25,159.36,158.99,159.045,214500,0,0,0,0,0.0807093550726382
03/31/2020,9:46 AM,159.06,159.22,158.77,158.8,165884,0,0,0,0,0.148727939530826
03/31/2020,9:47 AM,158.8,159.0741,158.71,158.895,147534,0,0,0,0,0.162339151148534
03/31/2020,9:48 AM,158.91,159,158.56,158.6,185704,0,0,0,0,0.219968179505433
03/31/2020,9:49 AM,158.61,158.77,158.58,158.72,87189,0,158.836171428571,159.793745187851,158.322774812149,0.151479371514435
03/31/2020,9:50 AM,158.73,158.83,158.46,158.54,193549,0,158.864097142857,159.47552973149,158.46499026851,0.129166559113636
03/31/2020,9:51 AM,158.5439,158.55,158.31,158.45,134836,0,158.762451428571,159.500580712445,158.392939287555,0.1543502510357
03/31/2020,9:52 AM,158.445,158.61,158.32,158.41,122208,0,158.656091428571,159.524291830712,158.322228169288,0.110381157802392
03/31/2020,9:53 AM,158.41,158.41,158.03,158.06,224067,0,158.474445714285,159.595715219549,158.185804780451,0.216203607722054
03/31/2020,9:54 AM,158.08,158.175,157.96,158.125,207998,0,158.295167142857,159.635989137015,158.106020862985,0.189198308651215
03/31/2020,9:55 AM,158.11,158.29,158.06,158.16,134495,0,158.193022857143,159.631816130153,158.009193869847,0.158126531617418
03/31/2020,9:56 AM,158.18,158.33,158.07,158.29,157546,0,158.14645,159.573928600535,157.962081399465,0.125395374738729
03/31/2020,9:57 AM,158.265,158.49,158.23,158.4565,125149,0,158.135798571428,159.515103072448,157.942556927552,0.14074288613865
03/31/2020,9:58 AM,158.44,158.83,158.21,158.7799,271320,0,158.2084,159.431744872338,157.967905127662,0.239051152696102
03/31/2020,9:59 AM,158.785,158.92,158.5,158.8999,142380,0,158.294894285714,159.388131317786,157.982188682214,0.282264674379749
03/31/2020,10:00 AM,158.91,158.98,158.57,158.63,215677,0,158.314824285714,159.356730707025,157.977899292975,0.2187520660562
03/31/2020,10:01 AM,158.59,159.1,158.59,159.065,189938,0,158.427448571428,159.358368225411,157.977261774589,0.210622568583005
03/31/2020,10:02 AM,159.09,159.24,158.88,159,206705,0,158.526358571428,159.352264413375,157.979365586625,0.155829401571107
03/31/2020,10:03 AM,159.03,159.37,159.02,159.35,133403,0,158.70084,159.397025300402,157.955604699598,0.233682608663005
03/31/2020,10:04 AM,159.38,159.6417,159.32,159.5261,205983,0,158.916025714286,159.462949242737,157.917290757263,0.308277526909404
03/31/2020,10:05 AM,159.53,159.76,159.52,159.635,178447,0,159.126991428571,159.584001697189,157.855238302811,0.24896303661001
03/31/2020,10:06 AM,159.64,159.73,159.47,159.67,153020,0,159.311528571428,159.721733038969,157.804506961031,0.24493540699451
03/31/2020,10:07 AM,159.7,160.05,159.675,160.02,281288,0,159.558137142857,159.923341787895,157.715398212105,0.220180820230976
03/31/2020,10:08 AM,160.0155,160.72,160.0155,160.7,354563,0,159.88546,160.292720433348,157.556019566652,0.428206484766151
03/31/2020,10:09 AM,160.74,161.2286,160.72,161.0729,350901,0,160.264035714286,160.694862342357,157.389167657643,0.573160104681986
03/31/2020,10:10 AM,161.08,161.13,160.82,160.9,216916,0,160.558888571428,160.981065844203,157.338964155797,0.537355585808668
03/31/2020,10:11 AM,160.91,161.52,160.89,161.46,291586,0,160.915027142857,161.355701328224,157.265328671776,0.476192970965334
