Date,Time,Open,High,Low,Close,Volume,"Simple Moving Average - SMA - SMA(20)","Volume Adjusted Moving Average - VAMA - VAMA(15)","BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)"
02/28/2020,4:00 PM,161.46,162.33,161.38,162.11,1485775,0,0,0,0
03/02/2020,9:31 AM,165.31,166.02,164.7,165.63,1955541,0,0,0,0
03/02/2020,9:32 AM,165.67,166.1,164.98,165.94,506954,0,0,0,0
03/02/2020,9:33 AM,165.98,166.46,165.32,165.3735,347288,0,0,0,0
03/02/2020,9:34 AM,165.359,166.11,165.16,165.205,316059,0,0,0,0
03/02/2020,9:35 AM,165.17,165.45,164.75,165.13,439452,0,0,0,0
03/02/2020,9:36 AM,165.13,165.13,164.45,164.48,286690,0,0,0,0
03/02/2020,9:37 AM,164.49,164.7,163.95,164.2,383692,0,0,0,0
03/02/2020,9:38 AM,164.2,164.32,163.73,163.85,254146,0,0,0,0
03/02/2020,9:39 AM,163.83,164.94,163.76,164.94,246297,0,0,0,0
03/02/2020,9:40 AM,164.92,165,164.225,164.225,213773,0,0,0,0
03/02/2020,9:41 AM,164.24,164.905,164.21,164.7181,229371,0,0,0,0
03/02/2020,9:42 AM,164.73,165.57,164.56,165.385,306003,0,0,0,0
03/02/2020,9:43 AM,165.4,165.85,165,165.12,224826,0,0,0,0
03/02/2020,9:44 AM,165.1865,165.87,164.97,165.744,236447,0,0,0,0
03/02/2020,9:45 AM,165.715,165.8,165.45,165.53,202531,0,165.226830546099,0,0
03/02/2020,9:46 AM,165.55,166.44,165.53,166.18,274931,0,165.109036369599,0,0
03/02/2020,9:47 AM,166.1324,166.344,165.81,166.13,291320,0,165.079918505036,0,0
03/02/2020,9:48 AM,166.13,166.51,165.83,166.0368,241814,0,165.111126372514,0,0
03/02/2020,9:49 AM,166.01,166.42,165.76,166.13,166967,165.10287,165.146253819987,167.029223568896,163.176516431104
03/02/2020,9:50 AM,166.08,166.57,165.93,165.99,204006,165.29687,165.193896902239,166.684760425213,163.908979574787
03/02/2020,9:51 AM,165.98,166.46,165.74,166.31,173589,165.33087,165.303058998968,166.781630901189,163.880109098811
03/02/2020,9:52 AM,166.32,166.37,165.663,165.68,245779,165.31787,165.449957767612,166.751118642921,163.884621357079
03/02/2020,9:53 AM,165.67,165.99,165.34,165.5775,185532,165.32807,165.574925176363,166.765654126393,163.890485873607
03/02/2020,9:54 AM,165.55,166.28,165.55,166.19,160441,165.37732,165.65089726905,166.861402642707,163.893237357293
03/02/2020,9:55 AM,166.15,166.42,166.02,166.27,158507,165.43432,165.772927142932,166.962929620018,163.905710379982
03/02/2020,9:56 AM,166.23,166.28,165.72,166.25,167115,165.52282,165.872214751059,167.024898496758,164.020741503242
03/02/2020,9:57 AM,166.25,166.26,165.68,165.74,123344,165.59982,165.915647792502,166.975315071034,164.224324928966
03/02/2020,9:58 AM,165.69,166.15,165.5838,166.01,187933,165.70782,165.980746315279,166.833256009023,164.582383990977
03/02/2020,9:59 AM,166,166,165.44,165.62,107721,165.74182,165.986666365281,166.812154139617,164.671485860383
03/02/2020,10:00 AM,165.62,165.76,165.2,165.23,153394,165.79207,165.97837089565,166.645157498676,164.938982501324
03/02/2020,10:01 AM,165.23,165.65,164.87,164.92,231196,165.802165,165.871131922943,166.607627320081,164.996702679919
03/02/2020,10:02 AM,164.9021,165.21,164.66,164.9,187540,165.777915,165.775565619371,166.657910630152,164.897919369848
03/02/2020,10:03 AM,164.93,165.265,164.63,164.93,168002,165.768415,165.697266619765,166.680145688898,164.856684311102
03/02/2020,10:04 AM,164.96,165.15,164.63,164.8231,94655,165.72237,165.636453989086,166.723058339292,164.721681660708
03/02/2020,10:05 AM,164.81,165.1463,164.63,165.04,117727,165.69787,165.578648632169,166.739359641053,164.656380358947
03/02/2020,10:06 AM,165.04,165.16,164.06,164.13,185568,165.59537,165.418703293939,166.815135990827,164.375604009173
03/02/2020,10:07 AM,164.13,164.42,164,164.08,164093,165.49287,165.300056988601,166.852247604789,164.133492395211
03/02/2020,10:08 AM,164.08,164.2273,163.81,163.88,129961,165.38503,165.199069958801,166.889186763233,163.880873236767
03/02/2020,10:09 AM,163.85,164.14,163.54,164.0315,157110,165.280105,165.052350857119,166.852956924971,163.707253075029
03/02/2020,10:10 AM,164.02,164.02,163.37,163.73,227523,165.167105,164.846818023315,166.841190451202,163.493019548798
03/02/2020,10:11 AM,163.745,164.28,163.68,164.11,157835,165.057105,164.700265493386,166.70525987679,163.40895012321
03/02/2020,10:12 AM,164.1231,164.4531,164.1,164.4291,141078,164.99456,164.631216427449,166.638349953009,163.350770046991
03/02/2020,10:13 AM,164.44,164.54,164.23,164.4118,167202,164.936275,164.507479633356,166.575913642976,163.296636357024
03/02/2020,10:14 AM,164.43,164.61,164.18,164.2196,118301,164.837755,164.443387006207,166.399148433419,163.276361566581
03/02/2020,10:15 AM,164.22,164.75,164.2,164.74,150482,164.761255,164.411686362854,166.177654136518,163.344855863482
03/02/2020,10:16 AM,164.74,164.8806,164.44,164.645,136504,164.681005,164.374495643305,165.921914736401,163.440095263599
03/02/2020,10:17 AM,164.66,164.7478,164.15,164.64,115880,164.626005,164.34412429853,165.767845257615,163.484164742385
03/02/2020,10:18 AM,164.64,164.64,163.89,163.95,100048,164.523005,164.280417394766,165.507723890792,163.538286109207
03/02/2020,10:19 AM,163.9721,164.041,163.49,163.72,99034,164.428005,164.231131903303,165.33456723939,163.52144276061
03/02/2020,10:20 AM,163.7119,164.04,163.7119,163.8808,76052,164.360545,164.173826821168,165.217807593309,163.503282406691
03/02/2020,10:21 AM,163.86,163.9796,163.15,163.15,148714,164.272045,164.104861679085,165.238510733417,163.305579266583
03/02/2020,10:22 AM,163.18,163.2039,162.872,163.06,228408,164.180045,163.995966245151,165.236049324733,163.124040675267
03/02/2020,10:23 AM,163.075,163.13,162.55,162.71,112679,164.069045,163.935208446826,165.246152086819,162.891937913181
03/02/2020,10:24 AM,162.71,162.84,162.31,162.472,148172,163.95149,163.826211980853,165.26552772379,162.63745227621
03/02/2020,10:25 AM,162.49,162.94,162.33,162.6233,113109,163.830655,163.769509797526,165.166371168164,162.494938831836
03/02/2020,10:26 AM,162.5878,162.785,162.32,162.71,106759,163.759655,163.684485537922,165.172887366563,162.346422633437
03/02/2020,10:27 AM,162.7,163.12,162.69,162.71,96002,163.691155,163.580904191784,165.167057321272,162.215252678728
03/02/2020,10:28 AM,162.7,163.56,162.6701,163.51,108260,163.672655,163.502017400361,165.14790060732,162.19740939268
03/02/2020,10:29 AM,163.4791,163.51,163.1,163.21,100110,163.63158,163.440000339798,165.110314919587,162.152845080413
03/02/2020,10:30 AM,163.23,163.43,163,163.39,81715,163.61458,163.32726061946,165.096212829811,162.132947170189
03/02/2020,10:31 AM,163.41,163.79,162.8147,162.8147,121954,163.549815,163.189298261878,165.052256755657,162.047373244343
03/02/2020,10:32 AM,162.79,162.92,162.58,162.86,116794,163.47136,163.071784208248,164.94555503649,161.99716496351
03/02/2020,10:33 AM,162.83,163.08,162.71,162.71,77634,163.38627,163.004969205357,164.829647325735,161.942892674265
03/02/2020,10:34 AM,162.77,163.23,162.73,163.195,75164,163.33504,162.971940852257,164.728334339907,161.941745660093
03/02/2020,10:35 AM,163.195,163.2997,162.66,162.695,101950,163.23279,162.915906933195,164.492391757542,161.973188242458
03/02/2020,10:36 AM,162.66,163.09,162.6,162.94,125382,163.14754,162.89735945766,164.231885017788,162.063194982212
03/02/2020,10:37 AM,162.96,163.5,162.96,163.48,93197,163.08954,162.908222815716,163.94917171044,162.22990828956
03/02/2020,10:38 AM,163.49,163.65,163.25,163.6091,82742,163.072495,162.960082359143,163.87481338188,162.27017661812
03/02/2020,10:39 AM,163.605,163.83,163.48,163.75,97701,163.073995,163.059847842237,163.881247033694,162.266742966306
03/02/2020,10:40 AM,163.7,164.0916,163.7,163.866,136584,163.073255,163.16463787199,163.877569104023,162.268940895977
03/02/2020,10:41 AM,163.92,164.1925,163.85,164.03,106088,163.117255,163.256890119288,164.023384912256,162.211125087744
03/02/2020,10:42 AM,164.04,164.2,163.89,163.97,123596,163.162755,163.347691789697,164.141309851767,162.184200148233
03/02/2020,10:43 AM,163.9721,164.38,163.9527,164.28,141241,163.241255,163.419827904254,164.309698006371,162.172811993629
03/02/2020,10:44 AM,164.285,164.47,164.14,164.29,128059,163.332155,163.502098470556,164.432219444422,162.232090555578
03/02/2020,10:45 AM,164.335,164.8,164.29,164.56,173494,163.42899,163.615345978444,164.60102212397,162.25695787603
03/02/2020,10:46 AM,164.56,164.9599,164.545,164.76,106047,163.53149,163.745281680492,164.789489403679,162.273490596321
03/02/2020,10:47 AM,164.76,164.87,164.5107,164.74,104636,163.63299,163.869259615958,164.936248845964,162.329731154036
03/02/2020,10:48 AM,164.75,164.77,164.4,164.6022,112612,163.6876,163.970246768702,165.055592290897,162.319607709103
03/02/2020,10:49 AM,164.6096,165.12,164.6,165.0857,160862,163.781385,164.102732488347,165.258387631372,162.304382368628
03/02/2020,10:50 AM,165.115,165.32,164.8701,165.28,115048,163.875885,164.257085555216,165.477243396199,162.274526603801
03/02/2020,10:51 AM,165.26,165.38,165.13,165.18,109236,163.99415,164.405568564877,165.61381747759,162.37448252241
03/02/2020,10:52 AM,165.16,165.37,165.15,165.25,126177,164.11365,164.511267598731,165.733642079598,162.493657920402
03/02/2020,10:53 AM,165.25,165.51,165.12,165.48,119293,164.25215,164.61349407462,165.841798117658,162.662501882342
03/02/2020,10:54 AM,165.47,165.88,165.31,165.63,161881,164.3739,164.742811534693,165.993736346053,162.754063653947
03/02/2020,10:55 AM,165.68,165.78,165.37,165.4296,184783,164.51063,164.867828581696,165.996647790054,163.024612209946
03/02/2020,10:56 AM,165.46,165.9,165.4398,165.8044,180523,164.65385,164.993815274033,166.056559321981,163.251140678019
03/02/2020,10:57 AM,165.8296,165.85,165.51,165.71,116265,164.76535,165.096653776057,166.131135576856,163.399564423144
03/02/2020,10:58 AM,165.675,165.72,164.95,164.98,162582,164.833895,165.143405794136,166.094215866237,163.573574133763
03/02/2020,10:59 AM,164.94,165.28,164.87,165.01,134368,164.896895,165.187588265152,166.05610576854,163.73768423146
03/02/2020,11:00 AM,165,165.1,164.72,164.78,174073,164.942595,165.205927533739,166.003537804234,163.881652195766
03/02/2020,11:01 AM,164.78,165.125,164.6,165.02,140178,164.992095,165.216023208278,165.966995514873,164.017194485127
03/02/2020,11:02 AM,165.02,165.23,164.73,165.158,142302,165.051495,165.235438532032,165.907583097018,164.195406902982
